id,pred_label,num_words,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,text
632,0,9,9,0.2777777777777778,1.0,0.9030794465542196,just embarrassment and a vague sense of shame . 
546,0,30,30,-0.034482758620689655,0.2,0.1691997049624574,"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . "
726,1,28,28,0.3333333333333333,0.6,0.7330648344102001,"it gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right . "
374,0,24,24,-0.11594202898550725,0.4,0.7209390958129547,"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . "
584,0,21,21,0.1619047619047619,0.5,0.24854150947842807,a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line . 
599,0,6,6,0.4666666666666667,1.0,0.9528371422258018,big fat waste of time . 
749,0,20,20,0.22105263157894736,0.7,0.33420048518718204,a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . 
169,1,13,13,-0.28205128205128205,0.7,0.6963518362821857,leigh 's film is full of memorable performances from top to bottom . 
793,1,18,18,-0.0196078431372549,0.5,0.4837012530851321,"... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young gaghan 's resume . "
844,0,19,19,0.4619883040935672,0.9,0.8675443358877409,"given how heavy-handed and portent-heavy it is , this could be the worst thing soderbergh has ever done . "
340,0,24,24,0.45652173913043476,0.7,0.8524238709063754,"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . "
392,0,11,11,0.2727272727272727,0.9,0.4493026377820976,"an overemphatic , would-be wacky , ultimately tedious sex farce . "
650,0,10,10,-0.5111111111111111,1.0,0.7127456263837921,"too slow , too long and too little happens . "
808,1,8,8,0.42857142857142855,1.0,0.8395415569573075,enormously entertaining for moviegoers of any age . 
368,0,12,12,0.3939393939393939,0.9,0.857265844675098,"the humor is forced and heavy-handed , and occasionally simply unpleasant . "
315,0,10,10,0.4222222222222222,1.0,0.6899319029924363,"complete lack of originality , cleverness or even visible effort "
400,1,18,18,-0.0718954248366013,0.4,0.46437611838976195,it 's refreshing to see a girl-power movie that does n't feel it has to prove anything . 
713,0,22,22,0.09090909090909091,0.6,0.5383575281138357,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in . 
209,0,25,25,-0.05333333333333334,0.5,0.37067571365385177,"this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience . "
779,0,14,14,-0.3626373626373626,0.6,0.5243637464991716,"prurient playthings aside , there 's little to love about this english trifle . "
672,0,20,20,-0.22105263157894736,0.4,-0.05286521570541176,"in all , this is a watchable movie that 's not quite the memorable experience it might have been . "
373,0,16,16,-0.05,0.6,0.5392006793185918,not since freddy got fingered has a major release been so painful to sit through . 
111,0,16,16,-0.15,0.5,0.7295737885667585,"there is n't nearly enough fun here , despite the presence of some appealing ingredients . "
435,1,8,8,0.42857142857142855,1.0,0.5021684214745233,a marvel like none you 've seen . 
840,0,27,27,0.1168091168091168,0.4,0.5348455182999441,"what is 100 % missing here is a script of even the most elemental literacy , an inkling of genuine wit , and anything resembling acting . "
859,1,15,15,0.44761904761904764,0.8,0.7974084962610142,"add yet another hat to a talented head , clooney 's a good director . "
408,0,27,27,0.25925925925925924,0.6,0.3510677468845513,"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them . "
66,0,17,17,0.29411764705882354,0.7,-0.13087556007997136,"if you 're hard up for raunchy college humor , this is your ticket right here . "
517,1,21,21,0.34285714285714286,0.7,0.45523621993851343,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . "
715,0,29,29,0.09852216748768473,0.6,0.45231019653803667,"there 's too much falseness to the second half , and what began as an intriguing look at youth fizzles into a dull , ridiculous attempt at heart-tugging . "
