id,pred_label,num_words,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,text
265,0,27,27,0.2934472934472934,0.6,0.6201124377073526,"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . "
297,1,13,13,0.358974358974359,0.8,0.8905376151562077,travels a fascinating arc from hope and euphoria to reality and disillusionment . 
701,0,34,34,0.20499108734402852,0.5,0.5482990133605045,"even the finest chef ca n't make a hotdog into anything more than a hotdog , and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy . "
700,0,21,21,0.5523809523809524,0.7,-0.16359948814266534,"is the time really ripe for a warmed-over james bond adventure , with a village idiot as the 007 clone ? "
821,1,18,18,-0.0718954248366013,0.5,0.6926763163799635,"exciting and direct , with ghost imagery that shows just enough to keep us on our toes . "
190,0,33,33,-0.3143939393939394,0.1,0.15769616449178497,"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' "
667,0,7,7,0.14285714285714285,1.0,0.28060955535411364,"good film , but very glum . "
236,1,25,25,0.35333333333333333,0.6,0.9108386596227532,not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur . 
682,0,20,20,0.22105263157894736,0.6,0.6147076210881051,"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan . "
150,1,11,11,0.5272727272727272,0.9,0.7122603829446035,overall very good for what it 's trying to do . 
230,1,20,20,0.3157894736842105,0.6,0.3713172911762681,reign of fire looks as if it was made without much thought -- and is best watched that way . 
656,0,13,13,0.10256410256410256,0.7,0.331458826976115,"so much facile technique , such cute ideas , so little movie . "
751,0,6,6,-0.06666666666666667,1.0,0.9415116667082087,one long string of cliches . 
191,1,31,31,0.3032258064516129,0.4,0.39641104034655805,the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in hollywood 's hastier productions . 
133,0,36,36,0.273015873015873,0.4,0.8150671430669588,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . "
72,1,8,8,0.5,1.0,0.9236080704823205,uses high comedy to evoke surprising poignance . 
544,1,21,21,0.3333333333333333,0.8,0.4025280643012813,"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . "
219,1,30,30,-0.02528735632183908,0.4,0.3739564197679602,"what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . "
762,1,13,13,0.1282051282051282,0.8,0.6941713427344401,it 's a lovely film with lovely performances by buy and accorsi . 
301,0,33,33,-0.12121212121212122,0.2,0.06394119025058129,"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . "
30,1,28,28,0.21164021164021163,0.4,0.6537947860809993,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . "
441,0,27,27,0.1225071225071225,0.3,-0.305841158869208,"there is very little dread or apprehension , and though i like the creepy ideas , they are not executed with anything more than perfunctory skill . "
129,1,19,19,0.06432748538011696,0.6,0.7507115020839373,"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . "
868,1,8,8,0.5,1.0,0.8259721095482351,a movie with a real anarchic flair . 
623,1,13,13,-0.15384615384615385,0.8,0.21616918858891537,"it is amusing , and that 's all it needs to be . "
14,0,25,25,0.23333333333333334,0.6,0.6557498622742408,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . 
282,0,29,29,0.19704433497536947,0.4,0.2889790997408821,"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer "
862,1,42,42,0.24041811846689895,0.6,-0.40542525506505067,"it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . "
86,0,21,21,0.26666666666666666,0.5,0.2825951665514109,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . "
813,0,26,26,-0.11384615384615385,0.3,0.4405327758818303,i can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers . 
829,1,8,8,0.21428571428571427,1.0,0.7828665578498082,teen movies have really hit the skids . 
825,1,27,27,0.22507122507122507,0.5,0.6007959382333466,candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work . 
268,0,24,24,0.09420289855072464,0.4,0.7524323831490933,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . 
461,0,20,20,0.2631578947368421,0.6,0.7004955146336055,it 's too bad that the helping hand he uses to stir his ingredients is also a heavy one . 
853,1,14,14,0.25274725274725274,0.7,-0.29953413630947184,"( serry ) wants to blend politics and drama , an admirable ambition . "
447,1,23,23,0.31225296442687744,0.7,0.6153564078753936,"generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes . "
142,0,16,16,0.13333333333333333,0.7,0.05459440024776703,what better message than ` love thyself ' could young women of any size receive ? 
812,1,12,12,0.2727272727272727,0.9,-0.0886919575444494,this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes . 
262,0,38,38,0.2233285917496444,0.5,0.8179002377526543,"it 's like every bad idea that 's ever gone into an after-school special compiled in one place , minus those daytime programs ' slickness and sophistication ( and who knew they even had any ? ) . "
364,0,15,15,0.3142857142857143,0.8,0.5870618868730162,"instead of hiding pinocchio from critics , miramax should have hidden it from everyone . "
239,1,16,16,0.6666666666666666,0.8,0.8324370267243717,brilliantly explores the conflict between following one 's heart and following the demands of tradition . 
498,1,18,18,0.12418300653594772,0.8,0.5617318008314239,"anchored by friel and williams 's exceptional performances , the film 's power lies in its complexity . "
773,1,6,6,0.3333333333333333,1.0,0.5681441842423307,it 's a beautiful madness . 
562,0,13,13,0.41025641025641024,0.9,0.5580002561757326,scorsese does n't give us a character worth giving a damn about . 
577,1,15,15,0.5047619047619047,0.9,0.8574025452990608,"though only 60 minutes long , the film is packed with information and impressions . "
439,1,16,16,-0.08333333333333333,0.5,0.7109004874406121,yakusho and shimizu ... create engaging characterizations in imamura 's lively and enjoyable cultural mix . 
