id,pred_label,num_words,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,text
481,1,5,5,0.2,1.0,0.3800511855127153,funny but perilously slight . 
186,1,19,19,0.07602339181286549,0.5,0.519182664528155,"pacino is brilliant as the sleep-deprived dormer , his increasing weariness as much existential as it is physical . "
745,0,14,14,0.14285714285714285,0.8,0.6193903813860179,made with no discernible craft and monstrously sanctimonious in dealing with childhood loss . 
592,0,23,23,0.19367588932806323,0.6,0.6114753089451417,zaidan 's script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight . 
311,1,8,8,-0.21428571428571427,1.0,0.8371671800194342,"a warm , funny , engaging film . "
205,1,10,10,0.15555555555555556,1.0,0.536809820660839,falls neatly into the category of good stupid fun . 
740,1,29,29,0.28078817733990147,0.6,0.6167655227740718,"jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory . "
419,0,8,8,0.35714285714285715,1.0,0.8526735337624916,i 'm just too bored to care . 
775,0,21,21,0.17142857142857143,0.6,0.2423195953802664,not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers . 
733,0,28,28,0.48148148148148145,0.7,0.22849149526408719,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . "
776,0,25,25,0.18666666666666668,0.6,0.6969325951006341,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . "
271,0,7,7,0.42857142857142855,1.0,0.6163285740869505,as unseemly as its title suggests . 
545,0,19,19,0.40350877192982454,0.7,0.6667495541170017,"from the opening scenes , it 's clear that all about the benjamins is a totally formulaic movie . "
251,0,16,16,-0.016666666666666666,0.6,0.3238717120779916,the film tries too hard to be funny and tries too hard to be hip . 
651,0,21,21,0.26666666666666666,0.6,0.44684261344983545,"due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . "
832,1,17,17,0.2647058823529412,0.6,0.6446753934612112,manages to show life in all of its banality when the intention is quite the opposite . 
752,0,25,25,0.25333333333333335,0.8,0.8670998218076308,like watching a dress rehearsal the week before the show goes up : everything 's in place but something 's just a little off-kilter . 
510,1,21,21,0.2857142857142857,0.6,0.5693782276171473,"the vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination . "
362,1,22,22,0.3246753246753247,0.6,0.7122669342489728,"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . "
