id,pred_label,num_words,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,text
265,0,27,27,0.24216524216524216,0.6,0.6860159878352288,"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . "
297,1,13,13,0.358974358974359,0.8,0.7869214746440536,travels a fascinating arc from hope and euphoria to reality and disillusionment . 
701,0,34,34,0.2014260249554367,0.5,0.443171292088372,"even the finest chef ca n't make a hotdog into anything more than a hotdog , and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy . "
700,0,21,21,0.2571428571428571,0.6,-0.07559918225190966,"is the time really ripe for a warmed-over james bond adventure , with a village idiot as the 007 clone ? "
821,1,18,18,-0.3464052287581699,0.4,0.5221893449103148,"exciting and direct , with ghost imagery that shows just enough to keep us on our toes . "
190,0,33,33,-0.29545454545454547,0.0,0.08464931905693775,"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' "
667,0,7,7,0.23809523809523808,1.0,0.33341881632454756,"good film , but very glum . "
236,1,25,25,0.25333333333333335,0.6,0.9163796258716482,not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur . 
682,0,20,20,0.43157894736842106,0.7,0.8323006496534232,"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan . "
150,1,11,11,0.6727272727272727,0.9,0.6834729415355282,overall very good for what it 's trying to do . 
230,0,20,20,0.21052631578947367,0.6,0.0773008027487043,reign of fire looks as if it was made without much thought -- and is best watched that way . 
656,0,13,13,0.6153846153846154,0.9,0.4492447434466192,"so much facile technique , such cute ideas , so little movie . "
751,0,6,6,-0.06666666666666667,1.0,0.9097738362034147,one long string of cliches . 
191,1,31,31,0.32903225806451614,0.6,0.2702303390032523,the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in hollywood 's hastier productions . 
133,0,36,36,0.24761904761904763,0.7,0.8124423932374994,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . "
72,1,8,8,0.21428571428571427,1.0,0.8974763622359329,uses high comedy to evoke surprising poignance . 
544,1,21,21,0.34285714285714286,0.7,0.5765126385626415,"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . "
219,1,30,30,-0.08045977011494253,0.4,0.4814889811636281,"what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . "
762,1,13,13,0.1794871794871795,0.8,0.6185277727394478,it 's a lovely film with lovely performances by buy and accorsi . 
301,0,33,33,0.08712121212121213,0.2,-0.2246656440738696,"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . "
30,1,28,28,0.32275132275132273,0.6,0.7545955436033219,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . "
441,0,27,27,0.2022792022792023,0.4,0.013844265958690673,"there is very little dread or apprehension , and though i like the creepy ideas , they are not executed with anything more than perfunctory skill . "
129,1,19,19,0.12280701754385964,0.6,0.6391085185448088,"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . "
868,1,8,8,0.21428571428571427,1.0,0.8795065034338038,a movie with a real anarchic flair . 
623,1,13,13,-0.23076923076923078,0.7,0.29158762783614217,"it is amusing , and that 's all it needs to be . "
14,0,25,25,0.13333333333333333,0.4,0.7291966748144567,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . 
