id,pred_label,orig_len,aug_len,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,flip,text,aug_text
265,0,24,24,24,0.007246376811594203,0.4,0.9404494297573749,False,"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . ","paid in full is thus stale , in fact , that its most vibrant scene is peerless that utilisation clips from brian de palma 's scarface . "
297,1,12,12,12,0.696969696969697,0.8,0.9564588448903366,False,travels a fascinating arc from hope and euphoria to reality and disillusionment . ,travels a fascinating arc from hope and euphoria to reality and disillusionment . 
701,0,34,34,34,0.3404634581105169,0.7,0.7656715443795196,False,"even the finest chef ca n't make a hotdog into anything more than a hotdog , and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy . ","even the ok chef ca n't cause a hotdog into anything more than a hotdog , and robert de niro ca n't shit this movie anything more than a trashy cop buddy comedy . "
700,0,20,20,20,0.45263157894736844,0.8,0.528123617949996,False,"is the time really ripe for a warmed-over james bond adventure , with a village idiot as the 007 clone ? ","is the time really ripe for a warmed-terminated james bond hazard , with a hamlet idiot as the 007 clone ? "
821,1,16,16,15,0.3523809523809524,0.8,0.7302474968389523,False,"exciting and direct , with ghost imagery that shows just enough to keep us on our toes . ","exciting and direct , with ghost imagery that shows just enough to keep America on our toes . "
190,0,28,28,28,0.2804232804232804,0.5,0.8889265006407395,False,"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' ","stress as i may , i ca n't think of a single good conclude to see this movie , even though everyone in my group extemporaneously scream , ` thank you ! ' "
667,0,5,5,5,1.0,1.0,0.9987291185974052,False,"good film , but very glum . ","good film , but very glum . "
236,1,24,24,24,0.3333333333333333,0.6,0.9312943338922323,False,not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur . ,not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur . 
682,0,18,18,18,0.17647058823529413,0.6,0.9314840768548532,False,"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan . ","in the end , the movie collapses on its shaky foundation despite the best drive of director joe carnahan . "
150,1,10,10,10,0.9111111111111111,1.0,0.975159476841041,False,overall very good for what it 's trying to do . ,overall very good for what it 's trying to do . 
230,0,18,18,18,0.6470588235294118,0.8,-0.7834517593524927,True,reign of fire looks as if it was made without much thought -- and is best watched that way . ,reign of fire looks as if it was made without often thought -- and is best watched that way . 
656,0,10,10,10,0.8666666666666667,1.0,0.972537199485207,False,"so much facile technique , such cute ideas , so little movie . ","so much facile technique , such cute ideas , so little movie . "
751,0,5,5,5,0.6,1.0,0.9452881669748127,False,one long string of cliches . ,one long strand of cliches . 
191,1,28,28,28,0.31746031746031744,0.6,0.8853476696382653,False,the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in hollywood 's hastier productions . ,the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and forbidden -- that 's all too rare in hollywood 's hastier productions . 
133,0,28,28,28,0.17989417989417988,0.6,0.9374002351060432,False,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ","the tale of tok ( andy lau ) , a sleek sociopath on the trail of oxygen ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . "
72,1,7,7,7,0.7142857142857143,1.0,0.9382796259272199,False,uses high comedy to evoke surprising poignance . ,uses high comedy to evoke surprising poignance . 
544,1,19,19,19,0.2631578947368421,0.7,0.8323371934791386,False,"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . ","although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . "
219,1,28,28,28,0.20634920634920634,0.5,0.8684207415753153,False,"what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . ","what the film miss in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . "
762,1,12,12,12,0.3939393939393939,0.8,0.4909080460434662,False,it 's a lovely film with lovely performances by buy and accorsi . ,it 'randomness a lovely film with lovely operation by buy and accorsi . 
301,0,32,32,32,0.4637096774193548,0.7,0.8599510856254305,False,"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . ","the x potion hold the quickly named blossom , bubbles and buttercup supernatural powers that admit extraordinary enduringness and laser-beam eyes , which unfortunately do n't enable them to spot flimsy screenplays . "
30,1,26,26,26,0.13230769230769232,0.5,0.24526600598985723,False,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","thank to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling fluctuation on in the company of men . "
441,0,24,24,24,0.391304347826087,0.6,0.9028266595395533,False,"there is very little dread or apprehension , and though i like the creepy ideas , they are not executed with anything more than perfunctory skill . ","there is very little dread or apprehension , and though i like the creepy ideas , they are not executed with anything more than perfunctory skill . "
129,1,17,17,17,0.38235294117647056,0.8,0.7448094525922091,False,"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . ","it provides the grand , intelligent entertainment of a superior cast diddle smart people amid a compelling plot . "
868,1,7,7,7,0.6190476190476191,1.0,0.9744205822220189,False,a movie with a real anarchic flair . ,a movie with a real anarchic flair . 
623,1,11,11,11,0.6363636363636364,0.9,0.9648019092366473,False,"it is amusing , and that 's all it needs to be . ","it is amusing , and that 's all it needs to be . "
14,0,23,23,23,0.35968379446640314,0.6,0.9827566029491733,False,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror fans will nigh likely not find what they 're seek with trouble every day ; the movie lacks both thrills and wittiness . 
282,0,25,25,24,0.5,0.8,0.9587218166092799,False,"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer ","while there 's something intrinsically funny about sir anthony hopkins saying ` stick in the car , bitch , ' this Hun bruckheimer production has piffling else to offer "
862,0,37,37,37,0.5015015015015015,0.8,0.8644355408768353,False,"it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . ","it 's inoffensive , cheerful , built to inspire the untried people , set to an unending soundtrack of beach party pop number and excursus from its noteworthy camerawork and awesome scenery , it 's about as exciting as a sunburn . "
86,0,19,19,19,0.5087719298245614,0.8,0.9376549804546005,False,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ","the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . "
813,0,24,24,24,0.5362318840579711,0.7,0.9800338274467771,False,i can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers . ,i can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diaper . 
829,1,7,7,7,0.8095238095238095,1.0,0.9944474786263645,False,teen movies have really hit the skids . ,teen movies have really hit the skids . 
825,1,25,25,25,0.3333333333333333,0.5,0.8334236284345391,False,candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work . ,candid and comfortable ; a film that deftly poise action and reflection as it lets you grasp and feel the passion others have for their work . 
268,0,23,23,23,0.42292490118577075,0.7,0.9355904720236551,False,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,a obtuse movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . 
