id,pred_label,num_words,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,text
632,0,9,9,0.16666666666666666,1.0,0.8581732460682342,just embarrassment and a vague sense of shame . 
546,0,30,30,0.24597701149425288,0.6,0.07534308920543836,"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . "
726,1,28,28,0.4021164021164021,0.5,0.7509834319580438,"it gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right . "
374,0,24,24,0.07971014492753623,0.5,0.7566243197454118,"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . "
584,0,21,21,0.2761904761904762,0.7,0.15274452643729933,a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line . 
599,0,6,6,0.4666666666666667,1.0,0.9702829773087096,big fat waste of time . 
749,0,20,20,-0.010526315789473684,0.5,0.19038426544988712,a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . 
169,1,13,13,-0.2564102564102564,0.7,0.6300939804241766,leigh 's film is full of memorable performances from top to bottom . 
793,1,18,18,0.1895424836601307,0.7,0.5933124530712175,"... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young gaghan 's resume . "
844,0,19,19,0.4853801169590643,0.7,0.9076689252391428,"given how heavy-handed and portent-heavy it is , this could be the worst thing soderbergh has ever done . "
340,0,24,24,0.17391304347826086,0.6,0.8641288076634943,"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . "
392,0,11,11,0.2727272727272727,0.9,0.6531082857739197,"an overemphatic , would-be wacky , ultimately tedious sex farce . "
650,0,10,10,-0.5555555555555556,1.0,0.6541736418939467,"too slow , too long and too little happens . "
808,1,8,8,0.35714285714285715,1.0,0.7857475814607464,enormously entertaining for moviegoers of any age . 
368,0,12,12,0.6666666666666666,0.8,0.945137890552133,"the humor is forced and heavy-handed , and occasionally simply unpleasant . "
315,0,10,10,0.28888888888888886,1.0,0.6662251577931685,"complete lack of originality , cleverness or even visible effort "
400,1,18,18,-0.12418300653594772,0.4,0.6440902099948844,it 's refreshing to see a girl-power movie that does n't feel it has to prove anything . 
